2025-03-07 16:48:57.967, FPS = 71.97552: Left Eye Position - X: -0.04708042, Y: 0.008166205, Z: 0.318027, Gaze: (0.26, 0.13, 0.96) / Right Eye Position - X: 0.01751412, Y: 0.01223066, Z: 0.2995998, Gaze: (0.26, 0.13, 0.96)
2025-03-07 16:48:58.970, FPS = 71.82639: Left Eye Position - X: -0.04564214, Y: 0.008170566, Z: 0.3181219, Gaze: (0.27, 0.13, 0.96) / Right Eye Position - X: 0.01894493, Y: 0.01204017, Z: 0.2996267, Gaze: (0.27, 0.13, 0.96)
2025-03-07 16:48:59.972, FPS = 72.08788: Left Eye Position - X: -0.02686441, Y: 0.01548174, Z: 0.3129692, Gaze: (0.23, 0.13, 0.96) / Right Eye Position - X: 0.03850564, Y: 0.01672713, Z: 0.2970398, Gaze: (0.23, 0.13, 0.96)
2025-03-07 16:49:00.975, FPS = 71.77153: Left Eye Position - X: 0.006327916, Y: 0.04493812, Z: 0.30141, Gaze: (-0.01, 0.21, 0.98) / Right Eye Position - X: 0.07336888, Y: 0.03939622, Z: 0.3032357, Gaze: (-0.01, 0.21, 0.98)
2025-03-07 16:49:01.977, FPS = 72.03014: Left Eye Position - X: -0.007352129, Y: 0.03910823, Z: 0.3318216, Gaze: (-0.02, 0.20, 0.98) / Right Eye Position - X: 0.05989393, Y: 0.03711273, Z: 0.3334102, Gaze: (-0.02, 0.20, 0.98)
2025-03-07 16:49:02.978, FPS = 72.14523: Left Eye Position - X: -0.008543123, Y: 0.03326882, Z: 0.3283531, Gaze: (0.00, 0.16, 0.99) / Right Eye Position - X: 0.05874925, Y: 0.03285756, Z: 0.3286774, Gaze: (0.00, 0.16, 0.99)
2025-03-07 16:49:03.981, FPS = 71.43224: Left Eye Position - X: -0.009257518, Y: 0.03169801, Z: 0.3244415, Gaze: (0.02, 0.15, 0.99) / Right Eye Position - X: 0.05802443, Y: 0.0321477, Z: 0.3232263, Gaze: (0.02, 0.15, 0.99)
2025-03-07 16:49:04.983, FPS = 71.9223: Left Eye Position - X: -0.007755313, Y: 0.0284519, Z: 0.3286128, Gaze: (0.02, 0.14, 0.99) / Right Eye Position - X: 0.05951847, Y: 0.02870301, Z: 0.3269653, Gaze: (0.02, 0.14, 0.99)
2025-03-07 16:49:05.985, FPS = 71.8284: Left Eye Position - X: -0.006836966, Y: 0.02655854, Z: 0.3298891, Gaze: (0.03, 0.13, 0.99) / Right Eye Position - X: 0.0604316, Y: 0.02664668, Z: 0.3280266, Gaze: (0.03, 0.13, 0.99)
2025-03-07 16:49:06.987, FPS = 70.94041: Left Eye Position - X: -0.006564226, Y: 0.02562023, Z: 0.327977, Gaze: (0.03, 0.12, 0.99) / Right Eye Position - X: 0.06070124, Y: 0.02573263, Z: 0.3260067, Gaze: (0.03, 0.12, 0.99)
